"Motion Junta 1 - STEP 1"
"          "

"Time      "	"MOTION_1.ANG"
0.000000e+00	0.000000e+00
1.200000e-02	1.613520e-03
2.400000e-02	6.428160e-03
3.600000e-02	1.440504e-02
4.800000e-02	2.550528e-02
6.000000e-02	3.969000e-02
7.200000e-02	5.692032e-02
8.400000e-02	7.715736e-02
9.600000e-02	1.003622e-01
1.080000e-01	1.264961e-01
1.200000e-01	1.555200e-01
1.320000e-01	1.873951e-01
1.440000e-01	2.220826e-01
1.560000e-01	2.595434e-01
1.680000e-01	2.997389e-01
1.800000e-01	3.426300e-01
1.920000e-01	3.881779e-01
2.040000e-01	4.363438e-01
2.160000e-01	4.870886e-01
2.280000e-01	5.403737e-01
2.400000e-01	5.961600e-01
2.520000e-01	6.544087e-01
2.640000e-01	7.150810e-01
2.760000e-01	7.781378e-01
2.880000e-01	8.435405e-01
3.000000e-01	9.112500e-01
3.120000e-01	9.812275e-01
3.240000e-01	1.053434e+00
3.360000e-01	1.127831e+00
3.480000e-01	1.204379e+00
3.600000e-01	1.283040e+00
3.720000e-01	1.363774e+00
3.840000e-01	1.446543e+00
3.960000e-01	1.531308e+00
4.080000e-01	1.618030e+00
4.200000e-01	1.706670e+00
4.320000e-01	1.797189e+00
4.440000e-01	1.889549e+00
4.560000e-01	1.983709e+00
4.680000e-01	2.079633e+00
4.800000e-01	2.177280e+00
4.920000e-01	2.276612e+00
5.040000e-01	2.377590e+00
5.160000e-01	2.480175e+00
5.280000e-01	2.584328e+00
5.400000e-01	2.690010e+00
5.520000e-01	2.797183e+00
5.640000e-01	2.905807e+00
5.760000e-01	3.015844e+00
5.880000e-01	3.127254e+00
6.000000e-01	3.240000e+00
6.120000e-01	3.354042e+00
6.240000e-01	3.469340e+00
6.360000e-01	3.585857e+00
6.480000e-01	3.703553e+00
6.600000e-01	3.822390e+00
6.720000e-01	3.942328e+00
6.840000e-01	4.063329e+00
6.960000e-01	4.185354e+00
7.080000e-01	4.308364e+00
7.200000e-01	4.432320e+00
7.320000e-01	4.557183e+00
7.440000e-01	4.682915e+00
7.560000e-01	4.809475e+00
7.680000e-01	4.936827e+00
7.800000e-01	5.064930e+00
7.920000e-01	5.193746e+00
8.040000e-01	5.323236e+00
8.160000e-01	5.453361e+00
8.280000e-01	5.584082e+00
8.400000e-01	5.715360e+00
8.520000e-01	5.847157e+00
8.640000e-01	5.979433e+00
8.760000e-01	6.112150e+00
8.880000e-01	6.245268e+00
9.000000e-01	6.378750e+00
9.120000e-01	6.512556e+00
9.240000e-01	6.646646e+00
9.360000e-01	6.780983e+00
9.480000e-01	6.915527e+00
9.600000e-01	7.050240e+00
9.720000e-01	7.185082e+00
9.840000e-01	7.320015e+00
9.960000e-01	7.455000e+00
1.008000e+00	7.589998e+00
1.020000e+00	7.724970e+00
1.032000e+00	7.859877e+00
1.044000e+00	7.994681e+00
1.056000e+00	8.129341e+00
1.068000e+00	8.263821e+00
1.080000e+00	8.398080e+00
1.092000e+00	8.532080e+00
1.104000e+00	8.665782e+00
1.116000e+00	8.799147e+00
1.128000e+00	8.932136e+00
1.140000e+00	9.064710e+00
1.152000e+00	9.196831e+00
1.164000e+00	9.328459e+00
1.176000e+00	9.459556e+00
1.188000e+00	9.590082e+00
1.200000e+00	9.720000e+00
1.212000e+00	9.849270e+00
1.224000e+00	9.977852e+00
1.236000e+00	1.010571e+01
1.248000e+00	1.023280e+01
1.260000e+00	1.035909e+01
1.272000e+00	1.048454e+01
1.284000e+00	1.060910e+01
1.296000e+00	1.073275e+01
1.308000e+00	1.085543e+01
1.320000e+00	1.097712e+01
1.332000e+00	1.109777e+01
1.344000e+00	1.121735e+01
1.356000e+00	1.133581e+01
1.368000e+00	1.145311e+01
1.380000e+00	1.156923e+01
1.392000e+00	1.168411e+01
1.404000e+00	1.179773e+01
1.416000e+00	1.191003e+01
1.428000e+00	1.202099e+01
1.440000e+00	1.213056e+01
1.452000e+00	1.223870e+01
1.464000e+00	1.234538e+01
1.476000e+00	1.245056e+01
1.488000e+00	1.255420e+01
1.500000e+00	1.265625e+01
1.512000e+00	1.275668e+01
1.524000e+00	1.285546e+01
1.536000e+00	1.295254e+01
1.548000e+00	1.304788e+01
1.560000e+00	1.314144e+01
1.572000e+00	1.323319e+01
1.584000e+00	1.332309e+01
1.596000e+00	1.341109e+01
1.608000e+00	1.349717e+01
1.620000e+00	1.358127e+01
1.632000e+00	1.366337e+01
1.644000e+00	1.374341e+01
1.656000e+00	1.382137e+01
1.668000e+00	1.389721e+01
1.680000e+00	1.397088e+01
1.692000e+00	1.404235e+01
1.704000e+00	1.411157e+01
1.716000e+00	1.417852e+01
1.728000e+00	1.424314e+01
1.740000e+00	1.430541e+01
1.752000e+00	1.436528e+01
1.764000e+00	1.442271e+01
1.776000e+00	1.447767e+01
1.788000e+00	1.453011e+01
1.800000e+00	1.458000e+01
1.812000e+00	1.462730e+01
1.824000e+00	1.467196e+01
1.836000e+00	1.471396e+01
1.848000e+00	1.475325e+01
1.860000e+00	1.478979e+01
1.872000e+00	1.482354e+01
1.884000e+00	1.485447e+01
1.896000e+00	1.488254e+01
1.908000e+00	1.490770e+01
1.920000e+00	1.492992e+01
1.932000e+00	1.494916e+01
1.944000e+00	1.496538e+01
1.956000e+00	1.497854e+01
1.968000e+00	1.498860e+01
1.980000e+00	1.499553e+01
1.992000e+00	1.499928e+01
2.004000e+00	1.500000e+01
2.016000e+00	1.500000e+01
2.028000e+00	1.500000e+01
2.040000e+00	1.500000e+01
2.052000e+00	1.500000e+01
2.064000e+00	1.500000e+01
2.076000e+00	1.500000e+01
2.088000e+00	1.500000e+01
2.100000e+00	1.500000e+01
2.112000e+00	1.500000e+01
2.124000e+00	1.500000e+01
2.136000e+00	1.500000e+01
2.148000e+00	1.500000e+01
2.160000e+00	1.500000e+01
2.172000e+00	1.500000e+01
2.184000e+00	1.500000e+01
2.196000e+00	1.500000e+01
2.208000e+00	1.500000e+01
2.220000e+00	1.500000e+01
2.232000e+00	1.500000e+01
2.244000e+00	1.500000e+01
2.256000e+00	1.500000e+01
2.268000e+00	1.500000e+01
2.280000e+00	1.500000e+01
2.292000e+00	1.500000e+01
