"Motion Junta 4 - STEP 2"
"          "

"Time      "	"MOTION_Junta4.ANG"
0.000000e+00	0.000000e+00
1.200000e-02	2.151360e-03
2.400000e-02	8.570880e-03
3.600000e-02	1.920672e-02
4.800000e-02	3.400704e-02
6.000000e-02	5.292000e-02
7.200000e-02	7.589376e-02
8.400000e-02	1.028765e-01
9.600000e-02	1.338163e-01
1.080000e-01	1.686614e-01
1.200000e-01	2.073600e-01
1.320000e-01	2.498602e-01
1.440000e-01	2.961101e-01
1.560000e-01	3.460579e-01
1.680000e-01	3.996518e-01
1.800000e-01	4.568400e-01
1.920000e-01	5.175706e-01
2.040000e-01	5.817917e-01
2.160000e-01	6.494515e-01
2.280000e-01	7.204982e-01
2.400000e-01	7.948800e-01
2.520000e-01	8.725450e-01
2.640000e-01	9.534413e-01
2.760000e-01	1.037517e+00
2.880000e-01	1.124721e+00
3.000000e-01	1.215000e+00
3.120000e-01	1.308303e+00
3.240000e-01	1.404579e+00
3.360000e-01	1.503775e+00
3.480000e-01	1.605839e+00
3.600000e-01	1.710720e+00
3.720000e-01	1.818366e+00
3.840000e-01	1.928724e+00
3.960000e-01	2.041744e+00
4.080000e-01	2.157373e+00
4.200000e-01	2.275560e+00
4.320000e-01	2.396252e+00
4.440000e-01	2.519398e+00
4.560000e-01	2.644946e+00
4.680000e-01	2.772844e+00
4.800000e-01	2.903040e+00
4.920000e-01	3.035483e+00
5.040000e-01	3.170120e+00
5.160000e-01	3.306900e+00
5.280000e-01	3.445770e+00
5.400000e-01	3.586680e+00
5.520000e-01	3.729577e+00
5.640000e-01	3.874409e+00
5.760000e-01	4.021125e+00
5.880000e-01	4.169673e+00
6.000000e-01	4.320000e+00
6.120000e-01	4.472055e+00
6.240000e-01	4.625787e+00
6.360000e-01	4.781143e+00
6.480000e-01	4.938071e+00
6.600000e-01	5.096520e+00
6.720000e-01	5.256438e+00
6.840000e-01	5.417772e+00
6.960000e-01	5.580472e+00
7.080000e-01	5.744485e+00
7.200000e-01	5.909760e+00
7.320000e-01	6.076244e+00
7.440000e-01	6.243886e+00
7.560000e-01	6.412634e+00
7.680000e-01	6.582436e+00
7.800000e-01	6.753240e+00
7.920000e-01	6.924995e+00
8.040000e-01	7.097648e+00
8.160000e-01	7.271148e+00
8.280000e-01	7.445442e+00
8.400000e-01	7.620480e+00
8.520000e-01	7.796209e+00
8.640000e-01	7.972577e+00
8.760000e-01	8.149533e+00
8.880000e-01	8.327025e+00
9.000000e-01	8.505000e+00
9.120000e-01	8.683407e+00
9.240000e-01	8.862195e+00
9.360000e-01	9.041311e+00
9.480000e-01	9.220703e+00
9.600000e-01	9.400320e+00
9.720000e-01	9.580110e+00
9.840000e-01	9.760020e+00
9.960000e-01	9.940000e+00
1.008000e+00	1.012000e+01
1.020000e+00	1.029996e+01
1.032000e+00	1.047984e+01
1.044000e+00	1.065957e+01
1.056000e+00	1.083912e+01
1.068000e+00	1.101843e+01
1.080000e+00	1.119744e+01
1.092000e+00	1.137611e+01
1.104000e+00	1.155438e+01
1.116000e+00	1.173220e+01
1.128000e+00	1.190951e+01
1.140000e+00	1.208628e+01
1.152000e+00	1.226244e+01
1.164000e+00	1.243795e+01
1.176000e+00	1.261274e+01
1.188000e+00	1.278678e+01
1.200000e+00	1.296000e+01
1.212000e+00	1.313236e+01
1.224000e+00	1.330380e+01
1.236000e+00	1.347428e+01
1.248000e+00	1.364374e+01
1.260000e+00	1.381212e+01
1.272000e+00	1.397938e+01
1.284000e+00	1.414547e+01
1.296000e+00	1.431033e+01
1.308000e+00	1.447391e+01
1.320000e+00	1.463616e+01
1.332000e+00	1.479703e+01
1.344000e+00	1.495646e+01
1.356000e+00	1.511441e+01
1.368000e+00	1.527082e+01
1.380000e+00	1.542564e+01
1.392000e+00	1.557882e+01
1.404000e+00	1.573030e+01
1.416000e+00	1.588004e+01
1.428000e+00	1.602799e+01
